COG_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	function_accession	gene_clusters_ids	p_Host	p_Environment	N_Host	N_Environment
Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase	0	1	1	NA	COG0079	GC_00000586, GC_00000724, GC_00003231, GC_00004525, GC_00004893, GC_00008037, GC_00010735, GC_00010997, GC_00010998, GC_00014756, GC_00021345, GC_00021877, GC_00023934, GC_00030218, GC_00031017, GC_00032914, GC_00034134, GC_00034285, GC_00037332, GC_00040262	1	1	50	21
Ribosomal protein S15P/S13E	0	1	1	NA	COG0184	GC_00000173	1	1	50	21
Glutamate racemase	0	1	1	NA	COG0796	GC_00000347, GC_00029381	1	1	50	21
Ribosome-associated translation inhibitor RaiA	0	1	1	NA	COG1544	GC_00000514	1	1	50	21
Phenylalanyl-tRNA synthetase alpha subunit	0	1	1	NA	COG0016	GC_00000082	1	1	50	21
Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family	0	1	1	NA	COG0127	GC_00000395	1	1	50	21
Membrane carboxypeptidase (penicillin-binding protein)	0	1	1	NA	COG0744	GC_00000439, GC_00000823, GC_00002365	1	1	50	21
Dihydroneopterin aldolase	0	1	1	NA	COG1539	GC_00000377	1	1	50	21
Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37	0	1	1	NA	COG0820	GC_00000114	1	1	50	21
Ribosomal protein L9	0	1	1	NA	COG0359	GC_00000206	1	1	50	21
Na+/proline symporter	0	1	1	NA	COG0591	GC_00000571, GC_00001398, GC_00004240, GC_00005121, GC_00005917, GC_00006220, GC_00010315, GC_00010779, GC_00015964	1	1	50	21
Ribosomal protein S4 or related protein	0	1	1	NA	COG0522	GC_00000182	1	1	50	21
Transcriptional and/or translational regulatory protein YebC/TACO1	0	1	1	NA	COG0217	GC_00000242	1	1	50	21
Lysophospholipase, alpha-beta hydrolase superfamily	0	1	1	NA	COG2267	GC_00001646, GC_00002400, GC_00002573, GC_00002660, GC_00002721, GC_00003205, GC_00004552, GC_00004574, GC_00004595, GC_00004624, GC_00004698, GC_00005193, GC_00005227, GC_00005560, GC_00005636, GC_00005709, GC_00005985, GC_00005995, GC_00006813, GC_00007303, GC_00007446, GC_00007939, GC_00008040, GC_00008523, GC_00009026, GC_00009485, GC_00010153, GC_00010477, GC_00010615, GC_00010688, GC_00011572, GC_00011586, GC_00011676, GC_00012529, GC_00012734, GC_00012866, GC_00012915, GC_00013052, GC_00013054, GC_00013098, GC_00013259, GC_00013350, GC_00013560, GC_00013570, GC_00013611, GC_00013658, GC_00013696, GC_00013786, GC_00013900, GC_00014359, GC_00014958, GC_00015162, GC_00015521, GC_00015973, GC_00017077, GC_00017484, GC_00017759, GC_00018115, GC_00018756, GC_00019537, GC_00020015, GC_00020077, GC_00020602, GC_00020964, GC_00021252, GC_00022415, GC_00023271, GC_00023467, GC_00023608, GC_00023637, GC_00023777, GC_00025274, GC_00025433, GC_00026077, GC_00026236, GC_00026436, GC_00026865, GC_00027413, GC_00027485, GC_00027492, GC_00028236, GC_00028373, GC_00028846, GC_00029102, GC_00029148, GC_00029248, GC_00030351, GC_00030741, GC_00031068, GC_00031982, GC_00032197, GC_00032481, GC_00033674, GC_00033783, GC_00033901, GC_00034995, GC_00036992, GC_00037336, GC_00038035, GC_00039326, GC_00039697, GC_00039819, GC_00040199, GC_00040219, GC_00040675, GC_00041693	1	1	50	21
Copper chaperone CopZ	0	1	1	NA	COG2608	GC_00000054, GC_00001543, GC_00001616, GC_00002479, GC_00005523, GC_00006876, GC_00019161	1	1	50	21
CDP-diglyceride synthetase	0	1	1	NA	COG0575	GC_00000374	1	1	50	21
FoF1-type ATP synthase, membrane subunit b or b'	0	1	1	NA	COG0711	GC_00000452, GC_00010146, GC_00012927, GC_00018602, GC_00025091, GC_00037817, GC_00041762	1	1	50	21
ABC-type methionine transport system, permease component	0	1	1	NA	COG2011	GC_00000201, GC_00002039	1	1	50	21
Ribosomal protein L19	0	1	1	NA	COG0335	GC_00000151	1	1	50	21
Ribosomal protein S1	0	1	1	NA	COG0539	GC_00000167	1	1	50	21
Chromosome segregation protein Spo0J, contains ParB-like nuclease domain	0	1	1	NA	COG1475	GC_00000308, GC_00013205, GC_00015312, GC_00017815, GC_00019206	1	1	50	21
DNA-binding transcriptional regulator, AcrR family	0	1	1	NA	COG1309	GC_00000126, GC_00000739, GC_00000861, GC_00001064, GC_00001084, GC_00001982, GC_00002328, GC_00002334, GC_00002443, GC_00002538, GC_00002539, GC_00002666, GC_00002745, GC_00002794, GC_00002806, GC_00002872, GC_00002915, GC_00002951, GC_00003057, GC_00003354, GC_00003452, GC_00003467, GC_00003618, GC_00003642, GC_00003669, GC_00003706, GC_00003780, GC_00003942, GC_00004150, GC_00004323, GC_00004532, GC_00004661, GC_00004677, GC_00004701, GC_00004738, GC_00004744, GC_00004840, GC_00004860, GC_00005082, GC_00005272, GC_00005287, GC_00005349, GC_00005371, GC_00005542, GC_00005676, GC_00005753, GC_00005856, GC_00005908, GC_00005915, GC_00006038, GC_00006228, GC_00006401, GC_00006487, GC_00006494, GC_00006723, GC_00006726, GC_00006751, GC_00006797, GC_00007067, GC_00007102, GC_00007115, GC_00007209, GC_00007267, GC_00007349, GC_00007440, GC_00007475, GC_00007502, GC_00007632, GC_00007659, GC_00007693, GC_00007731, GC_00007774, GC_00007784, GC_00007839, GC_00007848, GC_00007893, GC_00007920, GC_00008017, GC_00008058, GC_00008107, GC_00008146, GC_00008183, GC_00008349, GC_00008350, GC_00008610, GC_00008650, GC_00008689, GC_00009056, GC_00009221, GC_00009262, GC_00009275, GC_00009296, GC_00009340, GC_00009341, GC_00009370, GC_00009690, GC_00009714, GC_00009736, GC_00009737, GC_00009823, GC_00009831, GC_00009845, GC_00009882, GC_00010088, GC_00010118, GC_00010365, GC_00010400, GC_00010481, GC_00010484, GC_00010571, GC_00010614, GC_00010712, GC_00010719, GC_00010749, GC_00010821, GC_00010887, GC_00010894, GC_00010931, GC_00010970, GC_00011084, GC_00011095, GC_00011125, GC_00011309, GC_00011436, GC_00011499, GC_00011505, GC_00011609, GC_00011784, GC_00011787, GC_00011872, GC_00012134, GC_00012144, GC_00012347, GC_00012471, GC_00012607, GC_00012644, GC_00012742, GC_00012906, GC_00012986, GC_00013065, GC_00013165, GC_00013206, GC_00013286, GC_00013571, GC_00013621, GC_00013703, GC_00013754, GC_00014021, GC_00014055, GC_00014061, GC_00014179, GC_00014214, GC_00014261, GC_00014272, GC_00014281, GC_00014350, GC_00014357, GC_00014576, GC_00014633, GC_00014656, GC_00014753, GC_00014797, GC_00014899, GC_00014911, GC_00014936, GC_00015229, GC_00015249, GC_00015313, GC_00015584, GC_00015665, GC_00015726, GC_00015912, GC_00015943, GC_00016117, GC_00016154, GC_00016162, GC_00016186, GC_00016245, GC_00016430, GC_00016623, GC_00016639, GC_00016653, GC_00016772, GC_00016802, GC_00016888, GC_00017090, GC_00017190, GC_00017403, GC_00017502, GC_00017533, GC_00017569, GC_00017572, GC_00017635, GC_00017663, GC_00017664, GC_00017735, GC_00017751, GC_00017802, GC_00017804, GC_00017948, GC_00018054, GC_00018121, GC_00018232, GC_00018304, GC_00018397, GC_00018545, GC_00018575, GC_00018626, GC_00018679, GC_00018726, GC_00018780, GC_00018827, GC_00018895, GC_00019021, GC_00019127, GC_00019138, GC_00019145, GC_00019254, GC_00019274, GC_00019303, GC_00019390, GC_00019397, GC_00019722, GC_00019740, GC_00019774, GC_00019818, GC_00019925, GC_00019958, GC_00020053, GC_00020149, GC_00020175, GC_00020266, GC_00020270, GC_00020301, GC_00020443, GC_00020470, GC_00020528, GC_00020594, GC_00020730, GC_00020889, GC_00020912, GC_00021214, GC_00021234, GC_00021434, GC_00021888, GC_00021905, GC_00022043, GC_00022160, GC_00022201, GC_00022587, GC_00022687, GC_00022838, GC_00023146, GC_00023256, GC_00023392, GC_00023414, GC_00023819, GC_00023918, GC_00023968, GC_00024068, GC_00024395, GC_00024519, GC_00024532, GC_00024572, GC_00024589, GC_00024732, GC_00024779, GC_00024789, GC_00024796, GC_00025076, GC_00025128, GC_00025379, GC_00025387, GC_00025439, GC_00025701, GC_00025769, GC_00025908, GC_00025959, GC_00026135, GC_00026357, GC_00026572, GC_00026594, GC_00026621, GC_00026652, GC_00026655, GC_00027001, GC_00027182, GC_00027363, GC_00027424, GC_00027498, GC_00027614, GC_00027844, GC_00027889, GC_00027920, GC_00027938, GC_00027963, GC_00027985, GC_00028046, GC_00028090, GC_00028103, GC_00028179, GC_00028282, GC_00028363, GC_00028380, GC_00028738, GC_00028784, GC_00029026, GC_00029051, GC_00029120, GC_00029221, GC_00029235, GC_00029282, GC_00029418, GC_00029435, GC_00029673, GC_00029717, GC_00029772, GC_00029780, GC_00029926, GC_00030011, GC_00030113, GC_00030167, GC_00030176, GC_00030238, GC_00030249, GC_00030533, GC_00030599, GC_00030601, GC_00030626, GC_00030688, GC_00030902, GC_00030961, GC_00031210, GC_00031267, GC_00031270, GC_00031272, GC_00031453, GC_00031481, GC_00031487, GC_00031505, GC_00031526, GC_00031563, GC_00031582, GC_00031683, GC_00031801, GC_00031846, GC_00031883, GC_00031981, GC_00032023, GC_00032081, GC_00032129, GC_00032196, GC_00032311, GC_00032376, GC_00032390, GC_00032511, GC_00032597, GC_00032726, GC_00032745, GC_00032889, GC_00033067, GC_00033070, GC_00033182, GC_00033245, GC_00033246, GC_00033290, GC_00033405, GC_00033410, GC_00033591, GC_00033704, GC_00033720, GC_00033747, GC_00033793, GC_00033876, GC_00033921, GC_00034057, GC_00034138, GC_00034363, GC_00034420, GC_00034451, GC_00034784, GC_00034800, GC_00034888, GC_00035067, GC_00035218, GC_00035270, GC_00035327, GC_00035401, GC_00035402, GC_00035497, GC_00035593, GC_00035608, GC_00035626, GC_00035650, GC_00035699, GC_00035757, GC_00035758, GC_00035781, GC_00035799, GC_00035839, GC_00036197, GC_00036327, GC_00036346, GC_00036430, GC_00036464, GC_00036535, GC_00036540, GC_00036544, GC_00036596, GC_00036621, GC_00036671, GC_00036689, GC_00036799, GC_00036957, GC_00036961, GC_00037406, GC_00037465, GC_00037534, GC_00037596, GC_00037728, GC_00037748, GC_00037815, GC_00037901, GC_00038036, GC_00038061, GC_00038143, GC_00038362, GC_00038770, GC_00038793, GC_00039101, GC_00039332, GC_00039384, GC_00039486, GC_00039531, GC_00039542, GC_00039726, GC_00039729, GC_00039746, GC_00039909, GC_00039965, GC_00040026, GC_00040105, GC_00040195, GC_00040307, GC_00040551, GC_00040623, GC_00040846, GC_00041006, GC_00041014, GC_00041057, GC_00041190, GC_00041510, GC_00041746, GC_00041898, GC_00041916, GC_00041971, GC_00041981, GC_00042032	1	1	50	21
Rieske Fe-S protein	0	1	1	NA	COG0723	GC_00000475	1	1	50	21
Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	0	1	1	NA	COG1012	GC_00000860, GC_00001070, GC_00001210, GC_00001214, GC_00001279, GC_00001449, GC_00001529, GC_00001605, GC_00001673, GC_00001786, GC_00001813, GC_00001870, GC_00001892, GC_00002211, GC_00002492, GC_00003303, GC_00003318, GC_00003336, GC_00003521, GC_00004090, GC_00004298, GC_00005297, GC_00005728, GC_00006566, GC_00006593, GC_00007337, GC_00007697, GC_00007850, GC_00007917, GC_00009393, GC_00010338, GC_00010601, GC_00010736, GC_00011149, GC_00011805, GC_00013304, GC_00019403, GC_00020421, GC_00021644, GC_00027451, GC_00028199, GC_00028675, GC_00030395, GC_00032273, GC_00032898, GC_00033456, GC_00033678, GC_00034467, GC_00035551, GC_00039215, GC_00039467, GC_00042090	1	1	50	21
NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis proteins	0	1	1	NA	COG1208	GC_00000471	1	1	50	21
Protein involved in ribonucleotide reduction	0	1	1	NA	COG1780	GC_00000222, GC_00001407	1	1	50	21
Ribosomal protein L22	0	1	1	NA	COG0091	GC_00000178	1	1	50	21
RecG-like helicase	0	1	1	NA	COG1200	GC_00000908, GC_00002600, GC_00006245, GC_00023022, GC_00040310	1	1	50	21
Cell division protein FtsI/penicillin-binding protein 2	0	1	1	NA	COG0768	GC_00000383, GC_00000588, GC_00000993, GC_00002376, GC_00005240, GC_00006783, GC_00007374, GC_00007996, GC_00034623	1	1	50	21
SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)	0	1	1	NA	COG1974	GC_00000445	1	1	50	21
Protease II	0	1	1	NA	COG1770	GC_00000515, GC_00014732	1	1	50	21
ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme	0	1	1	NA	COG0319	GC_00000520	1	1	50	21
Carbamoylphosphate synthase small subunit	0	1	1	NA	COG0505	GC_00000580, GC_00034868	1	1	50	21
Excinuclease UvrABC, nuclease subunit	0	1	1	NA	COG0322	GC_00000331, GC_00006397, GC_00016416, GC_00024832, GC_00034989, GC_00035217, GC_00037676, GC_00038884, GC_00040429, GC_00040576	1	1	50	21
Xanthine/uracil/vitamin C permease, AzgA family	0	1	1	NA	COG2252	GC_00000302	1	1	50	21
Adenylate kinase or related kinase	0	1	1	NA	COG0563	GC_00000299, GC_00004188, GC_00007077, GC_00013032, GC_00013160, GC_00015236, GC_00025006, GC_00036303, GC_00038435, GC_00038597	1	1	50	21
Ribosome-binding factor A	0	1	1	NA	COG0858	GC_00000185	1	1	50	21
Prephenate dehydratase	0	1	1	NA	COG0077	GC_00000977, GC_00002797, GC_00007241, GC_00007628, GC_00023234, GC_00040488	1	1	50	21
2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes	0	1	1	NA	COG0567	GC_00000133	1	1	50	21
Ribonuclease HII	0	1	1	NA	COG0164	GC_00000278	1	1	50	21
Ribosomal protein L30/L7E	0	1	1	NA	COG1841	GC_00000171	1	1	50	21
Pyruvate kinase	0	1	1	NA	COG0469	GC_00000216, GC_00001505, GC_00007135, GC_00012428, GC_00023658	1	1	50	21
S-adenosylmethionine synthetase	0	1	1	NA	COG0192	GC_00000483, GC_00003583	1	1	50	21
Valyl-tRNA synthetase	0	1	1	NA	COG0525	GC_00000289	1	1	50	21
L-2-hydroxyglutarate oxidase LhgO	0	1	1	NA	COG0579	GC_00000362, GC_00037988	1	1	50	21
Predicted dithiol-disulfide isomerase, DsbA family	0	1	1	NA	COG2761	GC_00000621, GC_00003375, GC_00004102, GC_00006116, GC_00006492, GC_00009261, GC_00011493, GC_00021417, GC_00024746, GC_00027311, GC_00037085, GC_00040460	1	1	50	21
5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	0	1	1	NA	COG0190	GC_00000172	1	1	50	21
DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family	0	1	1	NA	COG1349	GC_00000472, GC_00002895, GC_00003074, GC_00004833, GC_00004835, GC_00004981, GC_00006089, GC_00006651, GC_00007220, GC_00008480, GC_00010404, GC_00015060, GC_00019172, GC_00020083, GC_00020686, GC_00022520, GC_00027818, GC_00034553, GC_00039932, GC_00041108, GC_00041480	1	1	50	21
Preprotein translocase subunit SecY	0	1	1	NA	COG0201	GC_00000327	1	1	50	21
Folate-binding Fe-S cluster repair protein YgfZ, possible role in tRNA modification	0	1	1	NA	COG0354	GC_00001171, GC_00005017, GC_00005963, GC_00006288, GC_00007325, GC_00007714, GC_00010759, GC_00012816, GC_00019738, GC_00024902, GC_00028289, GC_00031213, GC_00040126	1	1	50	21
Tryptophanyl-tRNA synthetase	0	1	1	NA	COG0180	GC_00000070, GC_00009720	1	1	50	21
ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA	0	1	1	NA	COG1119	GC_00000433, GC_00002036, GC_00007169	1	1	50	21
Uncharacterized conserved protein	0	1	1	NA	COG4223	GC_00000666, GC_00001142, GC_00002249, GC_00002913, GC_00003223, GC_00004173, GC_00004825, GC_00004868, GC_00005243, GC_00008342, GC_00008985, GC_00009083, GC_00009837, GC_00011159, GC_00015027, GC_00016417, GC_00016463, GC_00018306, GC_00019034, GC_00019124, GC_00020688, GC_00024598, GC_00025311, GC_00026106, GC_00026428, GC_00027790, GC_00030140, GC_00030147, GC_00030450, GC_00030575, GC_00031095, GC_00031762, GC_00032029, GC_00032617, GC_00032913, GC_00033577, GC_00033836, GC_00033962, GC_00034254, GC_00034366, GC_00035915, GC_00036241, GC_00036485, GC_00036661, GC_00041764, GC_00041989	1	1	50	21
Uncharacterized membrane-anchored protein YjiN, DUF445 family	0	1	1	NA	COG2733	GC_00000568, GC_00036837	1	1	50	21
Choline-glycine betaine transporter	0	1	1	NA	COG1292	GC_00000059, GC_00001208, GC_00001381, GC_00001586, GC_00001969, GC_00002021, GC_00002343, GC_00002438, GC_00003287, GC_00007855, GC_00013738, GC_00014644, GC_00016241, GC_00022454, GC_00029183	1	1	50	21
Spore germination protein GerM	0	1	1	NA	COG5401	GC_00001446, GC_00002130, GC_00002321, GC_00002790, GC_00003900, GC_00004140, GC_00004695, GC_00004994, GC_00005143, GC_00005718, GC_00006470, GC_00007061, GC_00007062, GC_00007819, GC_00008699, GC_00008828, GC_00010151, GC_00010784, GC_00011111, GC_00011726, GC_00014029, GC_00014502, GC_00022954, GC_00024680, GC_00024997, GC_00025669, GC_00026051, GC_00026301, GC_00027496, GC_00037934, GC_00039002, GC_00042077, GC_00042148	1	1	50	21
3-dehydroquinate synthetase	0	1	1	NA	COG0337	GC_00000354	1	1	50	21
Small-conductance mechanosensitive channel	0	1	1	NA	COG0668	GC_00001250, GC_00004337, GC_00004922, GC_00005089, GC_00005176, GC_00005708, GC_00006317, GC_00007514, GC_00008122, GC_00008410, GC_00009095, GC_00009339, GC_00009375, GC_00011018, GC_00011019, GC_00011128, GC_00011547, GC_00014278, GC_00016290, GC_00016490, GC_00016835, GC_00017523, GC_00017942, GC_00018597, GC_00020094, GC_00020744, GC_00021093, GC_00021812, GC_00022525, GC_00022569, GC_00025027, GC_00025029, GC_00025789, GC_00028018, GC_00031028, GC_00031289, GC_00031625, GC_00032688, GC_00035296, GC_00035969, GC_00036620, GC_00037171, GC_00038991, GC_00041739	1	1	50	21
HrpA-like RNA helicase	0	1	1	NA	COG1643	GC_00000541, GC_00001068, GC_00005144, GC_00007012, GC_00009694, GC_00011158, GC_00012474, GC_00022214, GC_00023527, GC_00033111, GC_00038918, GC_00040810	1	1	50	21
Replicative DNA helicase	0	1	1	NA	COG0305	GC_00000506, GC_00019557	1	1	50	21
Energy-coupling factor transporter ATP-binding protein EcfA2	0	1	1	NA	COG1122	GC_00000625, GC_00001103, GC_00001988, GC_00003132, GC_00003522, GC_00004006, GC_00004209, GC_00004304, GC_00004512, GC_00005155, GC_00005180, GC_00006424, GC_00007654, GC_00007994, GC_00008639, GC_00008853, GC_00010651, GC_00011848, GC_00013726, GC_00014018, GC_00015244, GC_00018496, GC_00018885, GC_00019655, GC_00022211, GC_00022386, GC_00023917, GC_00024173, GC_00025989, GC_00029456, GC_00030071, GC_00030120, GC_00030486, GC_00030966, GC_00031259, GC_00034752, GC_00036538, GC_00037192, GC_00037958, GC_00038808, GC_00039091, GC_00040545, GC_00041697	1	1	50	21
Acetate kinase	0	1	1	NA	COG0282	GC_00000300	1	1	50	21
Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein	0	1	1	NA	COG1494	GC_00000422	1	1	50	21
Uncharacterized conserved protein, DUF2342 family	0	1	1	NA	COG5282	GC_00000871, GC_00002567, GC_00015089, GC_00035334, GC_00035513	1	1	50	21
NADH dehydrogenase, FAD-containing subunit	0	1	1	NA	COG1252	GC_00000537	1	1	50	21
Short-chain dehydrogenase	0	1	1	NA	COG0300	GC_00000088, GC_00000662, GC_00001120, GC_00002105, GC_00002139, GC_00002934, GC_00004415, GC_00004762, GC_00005869, GC_00006756, GC_00009043, GC_00011114, GC_00014677, GC_00016124, GC_00016596, GC_00017079, GC_00019729, GC_00021044, GC_00023531, GC_00029397, GC_00034506, GC_00038070, GC_00039413, GC_00039572, GC_00041294	1	1	50	21
Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	0	1	1	NA	COG0115	GC_00000419, GC_00000956, GC_00002465, GC_00004222, GC_00004900, GC_00004972, GC_00006373, GC_00006805, GC_00008085, GC_00011239, GC_00013141, GC_00013142, GC_00014786, GC_00018446, GC_00018517, GC_00020382, GC_00021552, GC_00022601, GC_00026886, GC_00031445, GC_00034412, GC_00035001, GC_00035723, GC_00041721	1	1	50	21
ATPase components of ABC transporters with duplicated ATPase domains	0	1	1	NA	COG0488	GC_00000233, GC_00000427, GC_00000576, GC_00001714, GC_00002285, GC_00002964, GC_00003320, GC_00003382, GC_00004347, GC_00004844, GC_00005367, GC_00006762, GC_00010875, GC_00011740, GC_00013551, GC_00014971, GC_00015160, GC_00016827, GC_00021144, GC_00022379, GC_00036825, GC_00040883, GC_00041445, GC_00041809	1	1	50	21
AICAR transformylase/IMP cyclohydrolase PurH	0	1	1	NA	COG0138	GC_00000306	1	1	50	21
16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases	0	1	1	NA	COG1187	GC_00000545	1	1	50	21
Glutamine cyclotransferase	0	1	1	NA	COG3823	GC_00001481, GC_00002807, GC_00004536, GC_00004537, GC_00006377, GC_00007289, GC_00007426, GC_00011758, GC_00011759, GC_00011902, GC_00013261, GC_00018102, GC_00019366, GC_00025598, GC_00026366, GC_00034258, GC_00041191	1	1	50	21
Uncharacterized membrane protein YfcA	0	1	1	NA	COG0730	GC_00001033, GC_00001109, GC_00001160, GC_00001980, GC_00002381, GC_00002512, GC_00003180, GC_00003203, GC_00003678, GC_00005687, GC_00006153, GC_00006504, GC_00008847, GC_00008933, GC_00009810, GC_00010091, GC_00010218, GC_00016973, GC_00017755, GC_00027166, GC_00031786, GC_00032949, GC_00034302, GC_00038167, GC_00041246	1	1	50	21
Uncharacterized membrane protein DedA, SNARE-associated domain	0	1	1	NA	COG0586	GC_00001253, GC_00001568, GC_00001905, GC_00001922, GC_00002221, GC_00002261, GC_00002336, GC_00003028, GC_00003459, GC_00004652, GC_00006460, GC_00008412, GC_00009321, GC_00009953, GC_00011104, GC_00011105, GC_00011136, GC_00011836, GC_00011837, GC_00013143, GC_00014442, GC_00017850, GC_00019209, GC_00023816, GC_00024930, GC_00029888, GC_00029983, GC_00030006, GC_00030221, GC_00036051	1	1	50	21
Cell wall-associated hydrolase, NlpC family	0	1	1	NA	COG0791	GC_00000854, GC_00000940, GC_00001340, GC_00001909, GC_00002494, GC_00002776, GC_00003412, GC_00003499, GC_00003718, GC_00004359, GC_00004360, GC_00005575, GC_00006193, GC_00006428, GC_00006473, GC_00006484, GC_00007057, GC_00007387, GC_00008463, GC_00009679, GC_00011448, GC_00012675, GC_00013131, GC_00013917, GC_00014295, GC_00014588, GC_00014748, GC_00015168, GC_00015578, GC_00016651, GC_00016918, GC_00017487, GC_00017616, GC_00017875, GC_00020247, GC_00020776, GC_00024109, GC_00024562, GC_00025493, GC_00026664, GC_00027123, GC_00027164, GC_00027754, GC_00027806, GC_00028140, GC_00029724, GC_00030297, GC_00032457, GC_00032755, GC_00033259, GC_00034190, GC_00034900, GC_00035443, GC_00036087, GC_00037029, GC_00037133, GC_00038196, GC_00039070, GC_00039299, GC_00039374, GC_00040055, GC_00040535	1	1	50	21
Preprotein translocase subunit SecE	0	1	1	NA	COG0690	GC_00000911, GC_00003662, GC_00006798, GC_00007035, GC_00011083	1	1	50	21
Excinuclease UvrABC helicase subunit UvrB	0	1	1	NA	COG0556	GC_00000416	1	1	50	21
Tryptophan synthase beta chain	0	1	1	NA	COG0133	GC_00000030, GC_00026326	1	1	50	21
Tyrosyl-tRNA synthetase	0	1	1	NA	COG0162	GC_00000092	1	1	50	21
Selenocysteine lyase/Cysteine desulfurase	0	1	1	NA	COG0520	GC_00000007, GC_00001373, GC_00002318, GC_00004221, GC_00004869, GC_00006602, GC_00006731, GC_00008479, GC_00028466, GC_00030418, GC_00031448, GC_00036586, GC_00039492	1	1	50	21
Pyrimidine operon attenuation protein/uracil phosphoribosyltransferase	0	1	1	NA	COG2065	GC_00000494	1	1	50	21
Phage shock protein A	0	1	1	NA	COG1842	GC_00000380, GC_00000717, GC_00006189	1	1	50	21
Bacterial cell division protein FtsW, lipid II flippase	0	1	1	NA	COG0772	GC_00000067, GC_00001116, GC_00003841, GC_00005606, GC_00005734, GC_00006940, GC_00010248, GC_00013454, GC_00015700, GC_00018581, GC_00020468, GC_00025766, GC_00030595, GC_00032157	1	1	50	21
4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)	0	1	1	NA	COG2977	GC_00000801, GC_00005055, GC_00016744, GC_00022073, GC_00031835, GC_00032631, GC_00042038	1	1	50	21
Cysteine sulfinate desulfinase/cysteine desulfurase or related enzyme	0	1	1	NA	COG1104	GC_00000812, GC_00002549, GC_00003029, GC_00004789	1	1	50	21
Cysteinyl-tRNA synthetase	0	1	1	NA	COG0215	GC_00000068, GC_00000284	1	1	50	21
Cytoplasmic iron level regulating protein YaaA, DUF328/UPF0246 family	0	1	1	NA	COG3022	GC_00000765, GC_00010258, GC_00010259, GC_00021968, GC_00024587, GC_00027768, GC_00034523	1	1	50	21
Phosphotransacetylase	0	1	1	NA	COG0280	GC_00000310	1	1	50	21
NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit	0	1	1	NA	COG1146	GC_00000050	1	1	50	21
Phosphoglycerate mutase (BPG-dependent)	0	1	1	NA	COG0588	GC_00000179	1	1	50	21
Ribonucleotide reductase beta subunit, ferritin-like domain	0	1	1	NA	COG0208	GC_00000018	1	1	50	21
DNA-binding transcriptional regulator, MerR family	0	1	1	NA	COG0789	GC_00000109, GC_00000426, GC_00000660, GC_00001757, GC_00001876, GC_00002257, GC_00003451, GC_00004997, GC_00005433, GC_00006303, GC_00006559, GC_00007794, GC_00008027, GC_00008545, GC_00008672, GC_00011252, GC_00011674, GC_00012278, GC_00012411, GC_00013210, GC_00013426, GC_00013729, GC_00013929, GC_00014087, GC_00015025, GC_00015140, GC_00015529, GC_00015617, GC_00015884, GC_00016062, GC_00016495, GC_00016808, GC_00017361, GC_00018122, GC_00018698, GC_00019343, GC_00021769, GC_00021806, GC_00021908, GC_00022004, GC_00023854, GC_00024584, GC_00024611, GC_00026194, GC_00026308, GC_00026782, GC_00027493, GC_00028133, GC_00030014, GC_00030127, GC_00030328, GC_00030526, GC_00031124, GC_00032775, GC_00032787, GC_00032905, GC_00033102, GC_00033254, GC_00035698, GC_00036079, GC_00036226, GC_00039449, GC_00039477, GC_00040148, GC_00040275, GC_00040503, GC_00040986, GC_00041575	1	1	50	21
16S rRNA G966 N2-methylase RsmD	0	1	1	NA	COG0742	GC_00000519	1	1	50	21
Translation elongation factor EF-4, membrane-bound GTPase	0	1	1	NA	COG0481	GC_00000048, GC_00027950	1	1	50	21
UDP-N-acetylglucosamine enolpyruvyl transferase	0	1	1	NA	COG0766	GC_00000269, GC_00028278	1	1	50	21
Fe-S cluster assembly iron-binding protein IscA	0	1	1	NA	COG0316	GC_00000485	1	1	50	21
Cytochrome oxidase assembly protein ShyY1	0	1	1	NA	COG3346	GC_00002151, GC_00002319, GC_00002478, GC_00002672, GC_00003166, GC_00005126, GC_00005767, GC_00006863, GC_00008098, GC_00010197, GC_00013318, GC_00014724, GC_00018804, GC_00019425, GC_00020508, GC_00023014, GC_00023485, GC_00024568, GC_00028600, GC_00034554, GC_00037744, GC_00039771, GC_00040179	1	1	50	21
Carbamoylphosphate synthase large subunit	0	1	1	NA	COG0458	GC_00000450, GC_00031251	1	1	50	21
